Time,Cell_1,Cell_2,Cell_3,Cell_4,Cell_5,Cell_6,Cell_7,Cell_8,Cell_9,Cell_10,Cell_11,Cell_12,Cell_13,Cell_14,Cell_15,Cell_16,Cell_17,Cell_18,Cell_19,Cell_20
19800,1622.5,915.8,899.7,831.62,1104.7,969.3,1514.6,1059.1,776.16,1039.2,1004.1,1217.2,915.36,1015.8,643.66,806.3,939.8,1004.2,747.2,1463.8
20400,1573.9,930.8,948.39,784.03,1138.8,1028.5,1573.9,1045.9,763.64,920.99,969.45,1307.7,923.81,1001,488.88,1004.5,1065.3,1141.1,902.43,1363.9
21000,1514.7,998.81,1006.6,833.15,1085.6,1045.3,1482.4,1163.8,736.16,932.08,1008.3,1287.7,987.06,983.21,605.97,1063.3,1022.8,1139.4,752.81,1240.9
21600,1368.8,1014.2,1060.7,729.37,1161.6,910.26,1339.2,1099.9,812.81,753.57,1074.2,1200.7,978.99,1002.4,687.72,1034.7,1184.9,1206.7,669.08,1172.5
22200,1305.7,1065.4,1061.6,876.36,1077.7,973.7,1428.5,1231,807.71,748.73,1197.5,1181.9,965.5,973.62,678.74,938,1171.2,1074.1,852.02,1170.2
22800,1348,1088.1,1018.6,1006.5,935.6,914.42,1376.7,1091.3,740.2,709.21,1326.3,1092.7,889.15,942.75,862.02,937.83,1092.1,1032,843.23,1099.8
23400,1368.1,1006.1,1107.8,1076.3,1003,886.22,1482.7,1160.5,849.36,848.56,1353.5,1108.5,885.92,953.78,716.08,1001.3,1034.1,922.4,901.12,1060.8
24000,1342.4,1015.9,1130.9,1120.1,1024.9,924.52,1458.9,1006,736.72,787.66,1272.4,1144.9,800.98,1007.8,794.04,1057.2,932.67,916.53,996.4,1113.5
24600,1188.3,881.44,1001.4,1023.3,907.73,1095.6,1408.8,941.95,647.24,684.84,1080.5,1221.2,813.25,932.1,769.64,1137.5,953.59,787.01,1210.6,1187
25200,1088.7,861.79,986.88,1184.9,1017.3,1209.1,1494.3,949.06,717.57,720.09,1017.8,1239.5,880.72,819.39,889.17,882.73,988.27,927.5,1247.8,1033.3
25800,995.25,779,988.73,1285.9,1101,1435.1,1329.2,850.76,619.3,929.58,1007.3,1253.4,964.34,829.18,802.55,972.73,1083.8,805.71,1400.4,1135.4
26400,949.34,738.49,959.74,1200.1,1140.5,1605,1498.3,894.35,537.5,921.02,1122.8,1249.9,915.53,771.53,904.34,1079,1054.2,933.75,1122.8,1136.1
